freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.916e+01,2.248e+02,3.196e+01,2.959e+02
1.6,1.669e+02,1.561e+02,6.100e+01,3.840e+02
3.2,1.934e+02,8.380e+01,6.336e+01,3.405e+02
4.8,2.297e+02,4.888e+02,6.223e+01,7.807e+02
6.3,2.731e+02,1.509e+03,5.624e+01,1.838e+03
7.9,2.707e+02,2.423e+03,5.725e+01,2.751e+03
9.5,2.894e+02,3.561e+03,5.963e+01,3.910e+03
11.1,2.841e+02,4.965e+03,5.783e+01,5.307e+03
12.7,2.800e+02,6.571e+03,6.502e+01,6.916e+03
14.3,2.739e+02,8.777e+03,8.460e+01,9.136e+03
15.9,2.733e+02,1.160e+04,9.110e+01,1.196e+04
17.5,2.788e+02,1.482e+04,1.204e+02,1.522e+04
19.0,3.384e+02,1.899e+04,1.746e+02,1.951e+04
20.6,3.519e+02,2.370e+04,2.351e+02,2.428e+04
22.2,4.238e+02,2.695e+04,2.632e+02,2.764e+04
23.8,5.026e+02,2.751e+04,2.194e+02,2.823e+04
25.4,5.647e+02,3.311e+04,2.544e+02,3.393e+04
27.0,6.928e+02,4.491e+04,4.405e+02,4.605e+04
28.6,9.155e+02,6.344e+04,7.196e+02,6.508e+04
30.2,1.222e+03,8.399e+04,7.788e+02,8.599e+04
31.7,1.467e+03,8.510e+04,5.712e+02,8.714e+04
33.3,1.210e+03,6.933e+04,8.346e+02,7.137e+04
34.9,9.543e+02,8.399e+04,2.026e+03,8.697e+04
36.5,7.324e+02,1.187e+05,3.730e+03,1.232e+05
38.1,7.941e+02,1.636e+05,5.386e+03,1.698e+05
39.7,1.134e+03,2.008e+05,5.831e+03,2.077e+05
41.3,1.601e+03,1.683e+05,4.855e+03,1.747e+05
42.9,1.273e+03,1.618e+05,5.837e+03,1.689e+05
44.4,9.796e+02,2.127e+05,8.654e+03,2.224e+05
46.0,8.898e+02,2.807e+05,1.409e+04,2.956e+05
47.6,3.333e+03,3.747e+05,2.043e+04,3.985e+05
49.2,9.826e+03,5.371e+05,2.872e+04,5.757e+05
50.8,1.780e+04,7.213e+05,3.830e+04,7.774e+05
52.4,2.132e+04,7.682e+05,4.372e+04,8.332e+05
54.0,1.855e+04,5.868e+05,3.914e+04,6.445e+05
55.6,1.458e+04,3.515e+05,3.006e+04,3.961e+05
57.1,1.066e+04,1.808e+05,2.203e+04,2.135e+05
58.7,6.797e+03,7.541e+04,1.498e+04,9.719e+04
60.3,4.921e+03,3.059e+04,1.054e+04,4.605e+04
61.9,4.833e+03,1.886e+04,8.971e+03,3.266e+04
63.5,4.362e+03,1.221e+04,7.749e+03,2.432e+04
65.1,4.449e+03,9.441e+03,6.849e+03,2.074e+04
66.7,4.863e+03,8.355e+03,6.419e+03,1.964e+04
68.3,5.063e+03,7.233e+03,6.052e+03,1.835e+04
69.8,4.879e+03,6.491e+03,5.926e+03,1.730e+04
71.4,4.509e+03,6.535e+03,5.999e+03,1.704e+04
73.0,4.162e+03,6.825e+03,6.506e+03,1.749e+04
74.6,4.269e+03,6.607e+03,7.288e+03,1.816e+04
76.2,4.607e+03,6.046e+03,7.689e+03,1.834e+04
77.8,4.856e+03,5.557e+03,8.710e+03,1.912e+04
79.4,5.058e+03,5.305e+03,1.078e+04,2.115e+04
81.0,5.518e+03,5.238e+03,1.239e+04,2.315e+04
82.5,6.165e+03,5.231e+03,1.215e+04,2.355e+04
84.1,6.854e+03,5.318e+03,1.208e+04,2.425e+04
85.7,7.549e+03,5.251e+03,1.329e+04,2.609e+04
87.3,8.367e+03,5.055e+03,1.658e+04,3.000e+04
88.9,8.521e+03,5.166e+03,1.852e+04,3.221e+04
90.5,8.269e+03,4.524e+03,1.862e+04,3.142e+04
92.1,8.325e+03,3.980e+03,1.912e+04,3.143e+04
93.7,8.456e+03,3.515e+03,1.634e+04,2.832e+04
95.2,7.303e+03,3.469e+03,1.397e+04,2.474e+04
96.8,6.733e+03,3.354e+03,1.280e+04,2.289e+04
98.4,6.319e+03,3.229e+03,1.227e+04,2.182e+04
100.0,7.958e+03,3.530e+03,1.594e+04,2.743e+04
101.6,1.084e+04,3.424e+03,1.974e+04,3.400e+04
