freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.579e+01,2.493e+02,3.230e+02,6.081e+02
1.6,3.676e+01,1.610e+02,2.196e+02,4.174e+02
3.2,2.161e+01,4.290e+01,6.531e+01,1.298e+02
4.8,2.210e+01,4.399e+02,6.545e+01,5.274e+02
6.4,2.098e+01,1.399e+03,6.336e+01,1.483e+03
8.0,2.228e+01,2.322e+03,6.460e+01,2.409e+03
9.5,2.541e+01,3.411e+03,6.953e+01,3.506e+03
11.1,2.640e+01,4.741e+03,7.513e+01,4.843e+03
12.7,2.395e+01,6.354e+03,9.519e+01,6.473e+03
14.3,2.227e+01,8.474e+03,1.557e+02,8.652e+03
15.9,2.218e+01,1.111e+04,2.378e+02,1.137e+04
17.5,2.080e+01,1.441e+04,3.674e+02,1.480e+04
19.1,2.066e+01,1.886e+04,6.106e+02,1.949e+04
20.7,2.314e+01,2.462e+04,1.059e+03,2.570e+04
22.3,6.035e+01,3.171e+04,2.146e+03,3.392e+04
23.9,3.701e+02,3.929e+04,4.711e+03,4.437e+04
25.5,1.138e+03,4.633e+04,8.150e+03,5.562e+04
27.1,2.271e+03,5.503e+04,1.204e+04,6.934e+04
28.6,4.105e+03,6.084e+04,1.624e+04,8.119e+04
30.2,6.073e+03,6.741e+04,2.062e+04,9.410e+04
31.8,7.489e+03,8.057e+04,2.404e+04,1.121e+05
33.4,7.922e+03,1.080e+05,2.766e+04,1.436e+05
35.0,7.776e+03,1.831e+05,4.560e+04,2.365e+05
36.6,9.194e+03,3.736e+05,1.701e+05,5.528e+05
38.2,1.327e+04,6.614e+05,5.915e+05,1.266e+06
39.8,1.325e+04,6.144e+05,8.029e+05,1.431e+06
41.4,1.017e+04,3.208e+05,5.174e+05,8.483e+05
43.0,2.366e+04,1.246e+05,3.152e+05,4.635e+05
44.6,4.542e+04,6.075e+04,2.676e+05,3.737e+05
46.2,7.317e+04,6.981e+04,3.015e+05,4.445e+05
47.7,1.134e+05,1.373e+05,3.662e+05,6.169e+05
49.3,1.573e+05,2.138e+05,4.027e+05,7.738e+05
50.9,1.433e+05,1.965e+05,3.200e+05,6.598e+05
52.5,6.414e+04,8.875e+04,2.753e+05,4.282e+05
54.1,4.753e+04,6.499e+04,3.173e+05,4.298e+05
55.7,3.632e+04,6.427e+04,3.446e+05,4.452e+05
57.3,2.460e+04,6.040e+04,3.075e+05,3.925e+05
58.9,1.518e+04,5.331e+04,2.423e+05,3.108e+05
60.5,9.219e+03,4.836e+04,1.875e+05,2.451e+05
62.1,5.062e+03,4.368e+04,1.278e+05,1.765e+05
63.7,2.981e+03,3.856e+04,7.089e+04,1.124e+05
65.3,3.033e+03,3.638e+04,3.653e+04,7.594e+04
66.8,5.315e+03,3.615e+04,2.424e+04,6.571e+04
68.4,9.223e+03,3.227e+04,3.638e+04,7.788e+04
70.0,1.628e+04,2.811e+04,8.862e+04,1.330e+05
71.6,2.867e+04,3.208e+04,2.306e+05,2.913e+05
73.2,3.586e+04,4.354e+04,3.433e+05,4.227e+05
74.8,3.619e+04,4.927e+04,3.441e+05,4.295e+05
76.4,3.326e+04,5.272e+04,2.929e+05,3.789e+05
78.0,2.935e+04,5.281e+04,2.234e+05,3.056e+05
79.6,3.144e+04,4.970e+04,1.652e+05,2.463e+05
81.2,2.339e+04,4.364e+04,1.231e+05,1.901e+05
82.8,7.758e+03,3.672e+04,9.897e+04,1.435e+05
84.4,4.282e+03,3.304e+04,8.066e+04,1.180e+05
85.9,2.894e+03,2.982e+04,6.685e+04,9.956e+04
87.5,2.119e+03,2.687e+04,5.645e+04,8.544e+04
89.1,2.079e+03,2.441e+04,4.939e+04,7.588e+04
90.7,2.660e+03,2.209e+04,4.363e+04,6.838e+04
92.3,3.575e+03,1.987e+04,3.740e+04,6.085e+04
93.9,4.338e+03,1.811e+04,3.122e+04,5.366e+04
95.5,4.263e+03,1.700e+04,2.626e+04,4.752e+04
97.1,3.683e+03,1.600e+04,2.432e+04,4.401e+04
